Model,Accuracy,Norm_acc,Overall_logits_mean,Overall_logits_std,ECE_logits,Task,Num_choices,Model_name,Prompt,Model_family,Model_version,Model_type,Model_size
Mistral-Nemo-Base-2407_base_new_56,0.5789473684210527,0.4385964912280702,0.5394663183312667,0.2162134553774142,0.2240491415324963,conceptual_combinations,4,Mistral-Nemo-Base-2407,base_new_56,mistral,nemo,base,12
Mixtral-8x7B-v0.1_base_45,0.5789473684210527,0.4385964912280702,0.6184629154832739,0.1841978413359587,0.2168156175236953,conceptual_combinations,4,Mixtral-8x7B-v0.1,base_45,mistral,0.1,base,13
Mixtral-8x7B-v0.1_base_new_56,0.7894736842105263,0.7192982456140351,0.5296020429385336,0.1801655386004939,0.3713050782680511,conceptual_combinations,4,Mixtral-8x7B-v0.1,base_new_56,mistral,0.1,base,13
Llama-2-7b-hf_base_45,0.5789473684210527,0.4385964912280702,0.2996775900062762,0.0217066160674967,0.2792697784147764,conceptual_combinations,4,Llama-2-7b-hf,base_45,llama,2,base,7
Llama-2-7b-hf_base_new_56,0.7368421052631579,0.6491228070175438,0.333369664455715,0.0481702021567286,0.4034724408074429,conceptual_combinations,4,Llama-2-7b-hf,base_new_56,llama,2,base,7
Llama-2-13b-hf_base_45,0.1052631578947368,-0.1929824561403509,0.3352995107048436,0.0458838561914367,0.2432107705818979,conceptual_combinations,4,Llama-2-13b-hf,base_45,llama,2,base,13
Llama-2-13b-hf_base_new_56,0.7894736842105263,0.7192982456140351,0.351431950142509,0.0857095349424379,0.4380417340680173,conceptual_combinations,4,Llama-2-13b-hf,base_new_56,llama,2,base,13
Llama-3.1-8B_base_45,0.5263157894736842,0.3684210526315789,0.4777472976006959,0.1298581218049519,0.2521719979612451,conceptual_combinations,4,Llama-3.1-8B,base_45,llama,3.1,base,8
Llama-3.1-8B_base_new_56,0.631578947368421,0.5087719298245613,0.3687771825413954,0.0874083043318738,0.2628017648270255,conceptual_combinations,4,Llama-3.1-8B,base_new_56,llama,3.1,base,8
Meta-Llama-3-8B_base_45,0.4736842105263157,0.2982456140350877,0.4150247558167106,0.1324272601613332,0.2110569179058075,conceptual_combinations,4,Meta-Llama-3-8B,base_45,llama,3,base,8
Meta-Llama-3-8B_base_new_56,0.5789473684210527,0.4385964912280702,0.3772781742246527,0.1022089857219026,0.2016691941963999,conceptual_combinations,4,Meta-Llama-3-8B,base_new_56,llama,3,base,8
Llama-3.2-3B_base_45,0.1578947368421052,-0.1228070175438596,0.3500492933549379,0.0624790833271591,0.2446920793307455,conceptual_combinations,4,Llama-3.2-3B,base_45,llama,3.2,base,3
Llama-3.2-3B_base_new_56,0.0,-0.3333333333333333,0.3058542232764394,0.0263572885410168,0.3058542232764394,conceptual_combinations,4,Llama-3.2-3B,base_new_56,llama,3.2,base,3
Qwen2.5-3B-Instruct_instruct_2,0.5555555555555556,0.4074074074074074,0.93421125120863,0.1017621821578615,0.3786556956530743,conceptual_combinations,4,Qwen2.5-3B-Instruct,instruct_2,qwen,2.5,instruct,3
Qwen2.5-7B-Instruct_instruct_2,0.8571428571428571,0.8095238095238094,0.9453271346096288,0.1174826432506227,0.1806539797092652,conceptual_combinations,4,Qwen2.5-7B-Instruct,instruct_2,qwen,2.5,instruct,7
Qwen2.5-14B-Instruct_instruct_2,0.75,0.6666666666666666,0.999998739569055,4.4247621654365975e-06,0.2499987395690549,conceptual_combinations,4,Qwen2.5-14B-Instruct,instruct_2,qwen,2.5,instruct,14
Qwen3-4B-Instruct-2507_instruct_2,0.6666666666666666,0.5555555555555555,0.9998375391856648,0.000428623541378,0.333170872518998,conceptual_combinations,4,Qwen3-4B-Instruct-2507,instruct_2,qwen,3,instruct,4
Mistral-7B-Instruct-v0.1_instruct_2,0.5263157894736842,0.3684210526315789,0.6626063056078082,0.1799311848993786,0.2259687275129229,conceptual_combinations,4,Mistral-7B-Instruct-v0.1,instruct_2,mistral,0.1,instruct,7
Mistral-7B-Instruct-v0.2_instruct_2,0.8125,0.75,0.9999901789321848,3.9002844263090994e-05,0.1874901789321846,conceptual_combinations,4,Mistral-7B-Instruct-v0.2,instruct_2,mistral,0.2,instruct,7
Mistral-7B-Instruct-v0.3_instruct_2,0.5714285714285714,0.4285714285714285,0.9472497007352672,0.0773108993191809,0.3758211293066958,conceptual_combinations,4,Mistral-7B-Instruct-v0.3,instruct_2,mistral,0.3,instruct,7
Mistral-Nemo-Instruct-2407_instruct_2,0.4210526315789473,0.2280701754385964,0.7017619909195322,0.2076442018751074,0.3029685639771995,conceptual_combinations,4,Mistral-Nemo-Instruct-2407,instruct_2,mistral,nemo,instruct,12
Mixtral-8x7B-Instruct-v0.1_instruct_2,0.7647058823529411,0.6862745098039215,0.982601832064415,0.0565914172784305,0.2178959497114736,conceptual_combinations,4,Mixtral-8x7B-Instruct-v0.1,instruct_2,mistral,0.1,instruct,13
Llama-2-7b-chat-hf_instruct_2,0.5294117647058824,0.3725490196078431,0.872194903328795,0.1371275676634189,0.3427831386229127,conceptual_combinations,4,Llama-2-7b-chat-hf,instruct_2,llama,2,instruct,7
Llama-2-13b-chat-hf_instruct_2,,,,,,conceptual_combinations,4,Llama-2-13b-chat-hf,instruct_2,llama,2,instruct,13
Meta-Llama-3.1-8B-Instruct_instruct_2,0.5789473684210527,0.4385964912280702,0.8539659564106306,0.2229973813528934,0.28826305699235,conceptual_combinations,4,Meta-Llama-3.1-8B-Instruct,instruct_2,llama,3.1,instruct,8
Llama-3.2-3B-Instruct_instruct_2,0.3157894736842105,0.087719298245614,0.6846163315979943,0.2281406790585134,0.3884260639578447,conceptual_combinations,4,Llama-3.2-3B-Instruct,instruct_2,llama,3.2,instruct,3
Meta-Llama-3-8B-Instruct_instruct_2,0.5,0.3333333333333333,0.855398558747955,0.1964165991492204,0.3852039649306981,conceptual_combinations,4,Meta-Llama-3-8B-Instruct,instruct_2,llama,3,instruct,8
Qwen2.5-3B_base_withoutConfidence,0.7368421052631579,0.6491228070175438,0.7535735572639265,0.2073662223413572,0.1612967864463204,conceptual_combinations,4,Qwen2.5-3B,base_withoutConfidence,qwen,2.5,base,3
Qwen2.5-7B_base_withoutConfidence,0.7368421052631579,0.6491228070175438,0.815514109636608,0.1703092892639136,0.2134980496607328,conceptual_combinations,4,Qwen2.5-7B,base_withoutConfidence,qwen,2.5,base,7
Qwen2.5-14B_base_withoutConfidence,0.8421052631578947,0.7894736842105262,0.7918806421129327,0.2227942467398274,0.2104230617222033,conceptual_combinations,4,Qwen2.5-14B,base_withoutConfidence,qwen,2.5,base,14
Qwen3-4B-Base_base_withoutConfidence,0.5789473684210527,0.4385964912280702,0.7567427848514757,0.2045369646554429,0.291666821429604,conceptual_combinations,4,Qwen3-4B-Base,base_withoutConfidence,qwen,3,base,4
Qwen3-8B-Base_base_withoutConfidence,0.7368421052631579,0.6491228070175438,0.7892888376587316,0.2142521438446058,0.2122322791501095,conceptual_combinations,4,Qwen3-8B-Base,base_withoutConfidence,qwen,3,base,8
Qwen3-14B-Base_base_withoutConfidence,0.8947368421052632,0.8596491228070176,0.8584336748248652,0.1621691830428438,0.1494300537987758,conceptual_combinations,4,Qwen3-14B-Base,base_withoutConfidence,qwen,3,base,14
Mistral-7B-v0.1_base_withoutConfidence,0.4210526315789473,0.2280701754385964,0.5260652852685828,0.1707572943123701,0.1650824970320651,conceptual_combinations,4,Mistral-7B-v0.1,base_withoutConfidence,mistral,0.1,base,7
Mistral-7B-v0.2_base_withoutConfidence,0.5263157894736842,0.3684210526315789,0.5670884047683916,0.1803710562610547,0.2227276014654259,conceptual_combinations,4,Mistral-7B-v0.2,base_withoutConfidence,mistral,0.2,base,7
Mistral-7B-v0.3_base_withoutConfidence,0.5263157894736842,0.3684210526315789,0.5670883781031558,0.1803710728473484,0.2227276375419215,conceptual_combinations,4,Mistral-7B-v0.3,base_withoutConfidence,mistral,0.3,base,7
Mistral-Nemo-Base-2407_base_withoutConfidence,0.6842105263157895,0.5789473684210527,0.649568973403228,0.1940976553616949,0.2001963932263223,conceptual_combinations,4,Mistral-Nemo-Base-2407,base_withoutConfidence,mistral,nemo,base,12
Mixtral-8x7B-v0.1_base_withoutConfidence,0.7894736842105263,0.7192982456140351,0.6168448328971863,0.233973834198909,0.3216149650121989,conceptual_combinations,4,Mixtral-8x7B-v0.1,base_withoutConfidence,mistral,0.1,base,13
Llama-2-7b-hf_base_withoutConfidence,0.7368421052631579,0.6491228070175438,0.3564961442821904,0.0612284657057827,0.3803459609809675,conceptual_combinations,4,Llama-2-7b-hf,base_withoutConfidence,llama,2,base,7
Llama-2-13b-hf_base_withoutConfidence,0.5789473684210527,0.4385964912280702,0.4817603214790946,0.1736407222358019,0.165607224953802,conceptual_combinations,4,Llama-2-13b-hf,base_withoutConfidence,llama,2,base,13
Llama-3.1-8B_base_withoutConfidence,0.4736842105263157,0.2982456140350877,0.5710318919859434,0.1983230096683256,0.2804479238234068,conceptual_combinations,4,Llama-3.1-8B,base_withoutConfidence,llama,3.1,base,8
Meta-Llama-3-8B_base_withoutConfidence,0.4210526315789473,0.2280701754385964,0.5902979577842512,0.1692605812479192,0.1788481615091625,conceptual_combinations,4,Meta-Llama-3-8B,base_withoutConfidence,llama,3,base,8
Llama-3.2-3B_base_withoutConfidence,0.4736842105263157,0.2982456140350877,0.4104455568288502,0.1531303416519457,0.0940720925205632,conceptual_combinations,4,Llama-3.2-3B,base_withoutConfidence,llama,3.2,base,3
Qwen2.5-3B-Instruct_instruct_withoutConfidence,0.7368421052631579,0.6491228070175438,0.9863573292643396,0.0282053421552956,0.2495152240011821,conceptual_combinations,4,Qwen2.5-3B-Instruct,instruct_withoutConfidence,qwen,2.5,instruct,3
Qwen2.5-7B-Instruct_instruct_withoutConfidence,0.7894736842105263,0.7192982456140351,0.9865473713064852,0.0481366093506497,0.2191306848551192,conceptual_combinations,4,Qwen2.5-7B-Instruct,instruct_withoutConfidence,qwen,2.5,instruct,7
Qwen2.5-14B-Instruct_instruct_withoutConfidence,0.7894736842105263,0.7192982456140351,0.995815671080706,0.0177764348964072,0.2063419868701794,conceptual_combinations,4,Qwen2.5-14B-Instruct,instruct_withoutConfidence,qwen,2.5,instruct,14
Qwen3-4B-Instruct-2507_instruct_withoutConfidence,0.6842105263157895,0.5789473684210527,0.9990204428197924,0.0032512862991492,0.3148099165040029,conceptual_combinations,4,Qwen3-4B-Instruct-2507,instruct_withoutConfidence,qwen,3,instruct,4
Mistral-7B-Instruct-v0.1_instruct_withoutConfidence,0.5263157894736842,0.3684210526315789,0.7750777617026019,0.2031920108353051,0.3119966928778066,conceptual_combinations,4,Mistral-7B-Instruct-v0.1,instruct_withoutConfidence,mistral,0.1,instruct,7
Mistral-7B-Instruct-v0.2_instruct_withoutConfidence,0.7368421052631579,0.6491228070175438,0.9984839378844912,0.0063253822603811,0.2616418326213339,conceptual_combinations,4,Mistral-7B-Instruct-v0.2,instruct_withoutConfidence,mistral,0.2,instruct,7
Mistral-7B-Instruct-v0.3_instruct_withoutConfidence,0.4736842105263157,0.2982456140350877,0.9783516328647328,0.0403537381809428,0.5046674223384171,conceptual_combinations,4,Mistral-7B-Instruct-v0.3,instruct_withoutConfidence,mistral,0.3,instruct,7
Mistral-Nemo-Instruct-2407_instruct_withoutConfidence,0.3684210526315789,0.1578947368421052,0.8888589955685393,0.0753524053120581,0.5204379429369601,conceptual_combinations,4,Mistral-Nemo-Instruct-2407,instruct_withoutConfidence,mistral,nemo,instruct,12
Llama-2-7b-chat-hf_instruct_withoutConfidence,0.2105263157894736,-0.0526315789473684,0.946965346839748,0.1250824243664293,0.7734958423192286,conceptual_combinations,4,Llama-2-7b-chat-hf,instruct_withoutConfidence,llama,2,instruct,7
Llama-2-13b-chat-hf_instruct_withoutConfidence,0.1578947368421052,-0.1228070175438596,0.8676902598068227,0.1944243400051631,0.7097955229647175,conceptual_combinations,4,Llama-2-13b-chat-hf,instruct_withoutConfidence,llama,2,instruct,13
Meta-Llama-3.1-8B-Instruct_instruct_withoutConfidence,0.631578947368421,0.5087719298245613,0.8303483163104468,0.1453923154352368,0.1987693689420257,conceptual_combinations,4,Meta-Llama-3.1-8B-Instruct,instruct_withoutConfidence,llama,3.1,instruct,8
Llama-3.2-3B-Instruct_instruct_withoutConfidence,0.4210526315789473,0.2280701754385964,0.6888757491558828,0.2311704403048367,0.3628470153549861,conceptual_combinations,4,Llama-3.2-3B-Instruct,instruct_withoutConfidence,llama,3.2,instruct,3
Meta-Llama-3-8B-Instruct_instruct_withoutConfidence,0.4736842105263157,0.2982456140350877,0.8324070335624035,0.2200943693363824,0.4261227265763931,conceptual_combinations,4,Meta-Llama-3-8B-Instruct,instruct_withoutConfidence,llama,3,instruct,8
Qwen2.5-3B_base_45,0.2873563218390804,0.0498084291187739,0.4876935831431684,0.1494796290501941,0.2129270927659396,ruin_names,4,Qwen2.5-3B,base_45,qwen,2.5,base,3
Qwen2.5-3B_base_new_56,0.348314606741573,0.1310861423220974,0.4517228355568446,0.1272539216414221,0.1602689416221018,ruin_names,4,Qwen2.5-3B,base_new_56,qwen,2.5,base,3
Qwen2.5-7B_base_45,0.6853932584269663,0.5805243445692884,0.5600704721520456,0.1698132053616858,0.1988464496778637,ruin_names,4,Qwen2.5-7B,base_45,qwen,2.5,base,7
Qwen2.5-7B_base_new_56,0.5168539325842697,0.3558052434456929,0.5062895189510302,0.1575887277059977,0.1464160104815879,ruin_names,4,Qwen2.5-7B,base_new_56,qwen,2.5,base,7
Qwen2.5-14B_base_45,0.797752808988764,0.7303370786516853,0.668556681509768,0.1653526343829324,0.1376616057385219,ruin_names,4,Qwen2.5-14B,base_45,qwen,2.5,base,14
Qwen2.5-14B_base_new_56,0.8202247191011236,0.7602996254681648,0.5593401056327177,0.1522275115115518,0.2869041491760297,ruin_names,4,Qwen2.5-14B,base_new_56,qwen,2.5,base,14
Qwen3-4B-Base_base_45,0.3707865168539326,0.1610486891385768,0.4644895232795329,0.1206949191202389,0.1030965966455052,ruin_names,4,Qwen3-4B-Base,base_45,qwen,3,base,4
Qwen3-4B-Base_base_new_56,0.4831460674157303,0.3108614232209738,0.424292227190532,0.1059837453639106,0.0639761307936036,ruin_names,4,Qwen3-4B-Base,base_new_56,qwen,3,base,4
Qwen3-8B-Base_base_45,0.5056179775280899,0.3408239700374532,0.6055207547177089,0.1732019587744203,0.1099871035372273,ruin_names,4,Qwen3-8B-Base,base_45,qwen,3,base,8
Qwen3-8B-Base_base_new_56,0.4831460674157303,0.3108614232209738,0.5141258695152369,0.1438224199531558,0.0637647844432445,ruin_names,4,Qwen3-8B-Base,base_new_56,qwen,3,base,8
Qwen3-14B-Base_base_45,0.6629213483146067,0.5505617977528089,0.667789711711112,0.1825543511619444,0.0703722071111872,ruin_names,4,Qwen3-14B-Base,base_45,qwen,3,base,14
Qwen3-14B-Base_base_new_56,0.7078651685393258,0.6104868913857677,0.5970090681247497,0.1672170262625988,0.1108561004145761,ruin_names,4,Qwen3-14B-Base,base_new_56,qwen,3,base,14
Mistral-7B-v0.1_base_45,0.4157303370786517,0.2209737827715356,0.3673082667120387,0.0737039361917873,0.1167370385668251,ruin_names,4,Mistral-7B-v0.1,base_45,mistral,0.1,base,7
Mistral-7B-v0.1_base_new_56,0.4269662921348314,0.2359550561797752,0.3604128876428925,0.0664400884341567,0.1232769161127926,ruin_names,4,Mistral-7B-v0.1,base_new_56,mistral,0.1,base,7
Mistral-7B-v0.2_base_45,0.3820224719101123,0.1760299625468164,0.3591218671102202,0.0639724677432109,0.0962817367542995,ruin_names,4,Mistral-7B-v0.2,base_45,mistral,0.2,base,7
Mistral-7B-v0.2_base_new_56,0.4269662921348314,0.2359550561797752,0.3393783154112569,0.0588553295702065,0.0875879767235744,ruin_names,4,Mistral-7B-v0.2,base_new_56,mistral,0.2,base,7
Mistral-7B-v0.3_base_45,0.3820224719101123,0.1760299625468164,0.3591219190131412,0.0639724773277653,0.0962817879875054,ruin_names,4,Mistral-7B-v0.3,base_45,mistral,0.3,base,7
Mistral-7B-v0.3_base_new_56,0.4269662921348314,0.2359550561797752,0.3393782966592338,0.0588552985446186,0.0875879954755975,ruin_names,4,Mistral-7B-v0.3,base_new_56,mistral,0.3,base,7
Mistral-Nemo-Base-2407_base_45,0.4606741573033708,0.2808988764044944,0.3767975210473778,0.0906054367426973,0.1007270093044538,ruin_names,4,Mistral-Nemo-Base-2407,base_45,mistral,nemo,base,12
Mistral-Nemo-Base-2407_base_new_56,0.6404494382022472,0.5205992509363296,0.3596529344494423,0.0881111043905961,0.2807965037528049,ruin_names,4,Mistral-Nemo-Base-2407,base_new_56,mistral,nemo,base,12
Mixtral-8x7B-v0.1_base_45,0.6741573033707865,0.5655430711610486,0.3465421949879507,0.0595911001061149,0.3276151083828358,ruin_names,4,Mixtral-8x7B-v0.1,base_45,mistral,0.1,base,13
Mixtral-8x7B-v0.1_base_new_56,0.7191011235955056,0.6254681647940075,0.3276766351099764,0.0514361034495132,0.3914244884855291,ruin_names,4,Mixtral-8x7B-v0.1,base_new_56,mistral,0.1,base,13
Llama-2-7b-hf_base_45,0.2359550561797752,-0.0187265917602996,0.2963972593961137,0.035381100770457,0.0604422032163384,ruin_names,4,Llama-2-7b-hf,base_45,llama,2,base,7
Llama-2-7b-hf_base_new_56,0.1797752808988764,-0.0936329588014981,0.3303788990786906,0.0530265963326937,0.1506036181798141,ruin_names,4,Llama-2-7b-hf,base_new_56,llama,2,base,7
Llama-2-13b-hf_base_45,0.3146067415730337,0.0861423220973782,0.3177869045332576,0.0336974468312533,0.0254192566603756,ruin_names,4,Llama-2-13b-hf,base_45,llama,2,base,13
Llama-2-13b-hf_base_new_56,0.247191011235955,-0.0037453183520599,0.3299375330464223,0.0358658797034057,0.0827465218104673,ruin_names,4,Llama-2-13b-hf,base_new_56,llama,2,base,13
Llama-3.1-8B_base_45,0.3820224719101123,0.1760299625468164,0.3284991336672493,0.0508179989028616,0.1190160151278035,ruin_names,4,Llama-3.1-8B,base_45,llama,3.1,base,8
Llama-3.1-8B_base_new_56,0.3258426966292135,0.101123595505618,0.3109789668174272,0.0555314554062871,0.0690825303618827,ruin_names,4,Llama-3.1-8B,base_new_56,llama,3.1,base,8
Meta-Llama-3-8B_base_45,0.4719101123595505,0.2958801498127341,0.3297991705744454,0.0577353743345327,0.1421109417851051,ruin_names,4,Meta-Llama-3-8B,base_45,llama,3,base,8
Meta-Llama-3-8B_base_new_56,0.3595505617977528,0.146067415730337,0.3057825026217471,0.0447774423616104,0.0793388288342551,ruin_names,4,Meta-Llama-3-8B,base_new_56,llama,3,base,8
Llama-3.2-3B_base_45,0.2696629213483146,0.0262172284644194,0.3046003717384981,0.0347927075944356,0.0349374503901834,ruin_names,4,Llama-3.2-3B,base_45,llama,3.2,base,3
Llama-3.2-3B_base_new_56,0.2134831460674157,-0.048689138576779,0.3173752390266804,0.0577397532439444,0.1158492869875404,ruin_names,4,Llama-3.2-3B,base_new_56,llama,3.2,base,3
Qwen2.5-3B-Instruct_instruct_2,0.3033707865168539,0.0711610486891386,0.7538225770474499,0.1819055238502094,0.450451790530596,ruin_names,4,Qwen2.5-3B-Instruct,instruct_2,qwen,2.5,instruct,3
Qwen2.5-7B-Instruct_instruct_2,0.578125,0.4375,0.9484123893434784,0.1036767315710509,0.3846032767043304,ruin_names,4,Qwen2.5-7B-Instruct,instruct_2,qwen,2.5,instruct,7
Qwen2.5-14B-Instruct_instruct_2,0.6404494382022472,0.5205992509363296,0.9747604486560087,0.0900568970544877,0.3349442328976085,ruin_names,4,Qwen2.5-14B-Instruct,instruct_2,qwen,2.5,instruct,14
Qwen3-4B-Instruct-2507_instruct_2,0.6704545454545454,0.5606060606060606,0.9486418609557234,0.1133647306071054,0.2781873155011782,ruin_names,4,Qwen3-4B-Instruct-2507,instruct_2,qwen,3,instruct,4
Mistral-7B-Instruct-v0.1_instruct_2,0.2808988764044944,0.0411985018726592,0.4951288197813865,0.0952206130545805,0.215854216435451,ruin_names,4,Mistral-7B-Instruct-v0.1,instruct_2,mistral,0.1,instruct,7
Mistral-7B-Instruct-v0.2_instruct_2,0.625,0.5,0.9801307395641274,0.0899080828204243,0.3684385344727839,ruin_names,4,Mistral-7B-Instruct-v0.2,instruct_2,mistral,0.2,instruct,7
Mistral-7B-Instruct-v0.3_instruct_2,0.5393258426966292,0.3857677902621723,0.910432627913348,0.1618550903852713,0.4050993259518138,ruin_names,4,Mistral-7B-Instruct-v0.3,instruct_2,mistral,0.3,instruct,7
Mistral-Nemo-Instruct-2407_instruct_2,0.5393258426966292,0.3857677902621723,0.745275364615352,0.1881725843106287,0.2059495219187228,ruin_names,4,Mistral-Nemo-Instruct-2407,instruct_2,mistral,nemo,instruct,12
Mixtral-8x7B-Instruct-v0.1_instruct_2,0.5227272727272727,0.3636363636363636,0.9689501976914028,0.1038124628248652,0.4733457973865203,ruin_names,4,Mixtral-8x7B-Instruct-v0.1,instruct_2,mistral,0.1,instruct,13
Llama-2-7b-chat-hf_instruct_2,0.2359550561797752,-0.0187265917602996,0.8739986745063727,0.1609939455265845,0.6380436183265973,ruin_names,4,Llama-2-7b-chat-hf,instruct_2,llama,2,instruct,7
Llama-2-13b-chat-hf_instruct_2,,,,,,ruin_names,4,Llama-2-13b-chat-hf,instruct_2,llama,2,instruct,13
Meta-Llama-3.1-8B-Instruct_instruct_2,0.6704545454545454,0.5606060606060606,0.8166147049547721,0.1922865593966873,0.197928358710903,ruin_names,4,Meta-Llama-3.1-8B-Instruct,instruct_2,llama,3.1,instruct,8
Llama-3.2-3B-Instruct_instruct_2,0.6179775280898876,0.4906367041198501,0.7161037189393632,0.1953004230965105,0.1145105045493219,ruin_names,4,Llama-3.2-3B-Instruct,instruct_2,llama,3.2,instruct,3
Meta-Llama-3-8B-Instruct_instruct_2,0.6404494382022472,0.5205992509363296,0.9054717772324696,0.1677733951864789,0.2676194682153576,ruin_names,4,Meta-Llama-3-8B-Instruct,instruct_2,llama,3,instruct,8
Qwen2.5-3B_base_withoutConfidence,0.3370786516853932,0.1161048689138576,0.550263219335106,0.1548838653633222,0.2131845676497127,ruin_names,4,Qwen2.5-3B,base_withoutConfidence,qwen,2.5,base,3
Qwen2.5-7B_base_withoutConfidence,0.6179775280898876,0.4906367041198501,0.6286385183253985,0.198945161918407,0.0668776366817817,ruin_names,4,Qwen2.5-7B,base_withoutConfidence,qwen,2.5,base,7
Qwen2.5-14B_base_withoutConfidence,0.8314606741573034,0.7752808988764045,0.6123243600464938,0.1649971002593743,0.2608448290423061,ruin_names,4,Qwen2.5-14B,base_withoutConfidence,qwen,2.5,base,14
Qwen3-4B-Base_base_withoutConfidence,0.4719101123595505,0.2958801498127341,0.4972637215357148,0.1521664726543032,0.108356920520911,ruin_names,4,Qwen3-4B-Base,base_withoutConfidence,qwen,3,base,4
Qwen3-8B-Base_base_withoutConfidence,0.4943820224719101,0.3258426966292134,0.5820527856939295,0.1760510387113971,0.1210053372249174,ruin_names,4,Qwen3-8B-Base,base_withoutConfidence,qwen,3,base,8
Qwen3-14B-Base_base_withoutConfidence,0.7415730337078652,0.6554307116104869,0.7763034453552761,0.1706252858158531,0.0823397931088223,ruin_names,4,Qwen3-14B-Base,base_withoutConfidence,qwen,3,base,14
Mistral-7B-v0.1_base_withoutConfidence,0.4382022471910112,0.250936329588015,0.3751754610056287,0.0809222206467264,0.102316022254108,ruin_names,4,Mistral-7B-v0.1,base_withoutConfidence,mistral,0.1,base,7
Mistral-7B-v0.2_base_withoutConfidence,0.5168539325842697,0.3558052434456929,0.3925633768687087,0.0951978082150463,0.1359353088930751,ruin_names,4,Mistral-7B-v0.2,base_withoutConfidence,mistral,0.2,base,7
